Vehicle,Price,Year,Manufacturer,Model,Condition,Cylinders,Fuel,Odometer,Transmission,Drive,Type,Paint,State
15495,3350,2002,nissan,xterra xe,excellent,6,gas,144819,automatic,rwd,SUV,white,fl
15496,7995,2002,ford,f250,good,8,diesel,273475,automatic,rwd,truck,silver,fl
15497,6495,2000,jeep,cherokee,excellent,6,gas,146355,automatic,rwd,SUV,white,fl
15498,3800,1993,honda,accord,excellent,4,gas,72000,automatic,fwd,sedan,white,fl
15499,5995,2006,chevrolet,silverado,good,8,gas,256724,automatic,rwd,truck,blue,fl
15500,3295,2009,ford,focus,good,4,gas,197963,automatic,fwd,sedan,blue,fl
15501,3900,2003,chrysler,pt cruiser limited,excellent,4,gas,80512,automatic,fwd,wagon,silver,fl
15502,2500,2007,chevrolet,trailblazer lt,good,6,gas,175000,automatic,4wd,SUV,silver,fl
15503,9500,2014,chevrolet,volt,excellent,4,electric,106000,automatic,fwd,hatchback,white,fl
15504,3200,2008,hyundai,sante fe,good,6,gas,211360,automatic,fwd,SUV,grey,fl
15505,16999,2008,ford,f250 super duty,good,8,gas,103698,automatic,rwd,truck,white,fl
15506,11999,2017,kia,sorento ex,excellent,4,gas,113593,automatic,fwd,SUV,black,fl
15507,19995,2017,dodge,grand caravan sxt,excellent,6,gas,44000,automatic,fwd,mini-van,grey,fl
15508,4995,2008,mini,cooper s,good,4,gas,99053,manual,fwd,coupe,red,fl
15509,8900,2007,lexus,rx 350,excellent,6,gas,148743,automatic,fwd,SUV,silver,fl
15510,16999,2017,kia,optima,excellent,4,gas,71910,automatic,fwd,sedan,grey,fl
15511,13999,2015,mazda,6,excellent,4,gas,115429,automatic,fwd,sedan,black,fl
15512,1500,2004,ford,ranger,good,4,gas,200000,automatic,rwd,truck,white,fl
15513,8900,2007,ram,1500,good,6,gas,68000,manual,rwd,truck,silver,fl
15514,13999,2017,mazda,3,excellent,4,gas,127944,automatic,fwd,hatchback,red,fl
15515,22999,2018,chevrolet,colorado,excellent,4,gas,23502,automatic,rwd,truck,white,fl
15516,1800,2004,honda,odyssey,good,6,gas,180000,automatic,fwd,mini-van,silver,fl
15517,2500,1989,jeep,cherokee,good,6,gas,198000,automatic,4wd,SUV,red,fl
15518,4200,2003,ford,crown victoria police,good,8,gas,59554,automatic,rwd,sedan,blue,fl
15519,3400,2002,saturn,ls300,excellent,6,gas,78444,automatic,fwd,sedan,blue,fl
15520,4500,2011,chrysler,200,good,6,gas,147000,automatic,fwd,sedan,red,fl
15521,15900,2013,gmc,sierra1500 crewcab 4x4,good,8,gas,300000,automatic,4wd,truck,grey,fl
15522,9200,2007,dodge,charger,excellent,8,gas,107000,automatic,rwd,sedan,red,fl
15523,18999,2018,nissan,frontier,excellent,4,gas,113646,automatic,rwd,truck,silver,fl
15524,39700,2017,ford,f-150 xlt 4x4,excellent,6,gas,31220,automatic,4wd,truck,red,fl
15525,8995,2005,gmc,sierra,excellent,8,gas,213380,automatic,rwd,truck,white,fl
15526,7999,2009,acura,tl,good,6,gas,139571,automatic,fwd,sedan,black,fl
15527,12500,2007,ford,expedition,excellent,8,gas,160000,automatic,rwd,SUV,black,fl
15528,20300,2011,toyota,4runner limited 4x4,excellent,6,gas,139850,automatic,4wd,SUV,black,fl
15529,16900,2008,ford,f350 super duty,excellent,8,diesel,147948,automatic,rwd,truck,white,fl
15530,3000,2006,ford,expedition xlt,good,8,gas,190000,automatic,rwd,SUV,red,fl
15531,3500,2004,chevrolet,tahoe,good,8,gas,195000,automatic,rwd,SUV,green,fl
15532,7995,2008,ford,edge sel awd,excellent,4,gas,120479,automatic,4wd,SUV,red,fl
15533,44900,2017,ram,2500,like new,6,diesel,76942,automatic,4wd,truck,white,fl
15534,8500,2005,ford,f450,good,8,hybrid,376000,automatic,rwd,truck,white,fl
15535,12900,2018,ford,focus se,excellent,4,gas,36600,automatic,fwd,sedan,white,fl
15536,17500,2012,ford,f450 super duty,good,8,gas,60000,automatic,rwd,truck,white,fl
15537,7000,2004,gmc,envoy xuv,good,8,gas,115000,automatic,4wd,SUV,silver,fl
15538,30900,2019,honda,cr-v touring,like new,4,gas,22185,automatic,fwd,sedan,silver,fl
15539,47900,2014,chevrolet,corvette stingray 3lt,like new,8,gas,25740,automatic,rwd,coupe,yellow,fl
15540,17500,2016,ford,transit connect titanium,excellent,4,gas,47887,automatic,fwd,van,blue,fl
15541,1200,2007,mazda,3,good,4,gas,100000,automatic,fwd,hatchback,silver,fl
15542,11500,2008,saturn,sky redline turbo,good,4,gas,72000,manual,rwd,convertible,black,fl
15543,8699,2015,chevrolet,trax,excellent,4,gas,89920,automatic,fwd,SUV,black,fl
15544,3500,2001,chevrolet,silverado 1500,fair,8,gas,174350,automatic,4wd,truck,blue,fl
15545,33000,2016,gmc,yukon slt,excellent,8,gas,93602,automatic,rwd,SUV,red,fl
15546,4400,1999,ford,f-150 ac,good,6,gas,233000,manual,fwd,truck,orange,fl
15547,2500,2009,ford,escape,good,6,gas,190000,automatic,fwd,SUV,silver,fl
15548,2800,1981,ford,f150 xlt,fair,8,gas,58000,automatic,rwd,truck,red,fl
15549,4000,2007,ram,1500,good,8,gas,190000,automatic,4wd,truck,white,fl
15550,5500,2008,ford,taurus,good,6,gas,108000,automatic,fwd,sedan,red,fl
15551,12999,2014,kia,cadenza,excellent,6,gas,119783,automatic,fwd,sedan,brown,fl
15552,29999,2014,jeep,wrangler unlimited,excellent,6,gas,64781,automatic,4wd,SUV,white,fl
15553,11999,2017,kia,soul,excellent,4,gas,94503,automatic,fwd,SUV,red,fl
15554,18990,2018,toyota,camry,excellent,4,gas,39388,automatic,fwd,sedan,silver,fl
15555,19500,2018,toyota,camry,excellent,4,gas,35664,automatic,fwd,sedan,grey,fl
15556,7990,2012,nissan,juke,excellent,4,gas,120056,automatic,4wd,SUV,white,fl
15557,15990,2015,mercedes-benz,c-class,excellent,4,gas,72220,automatic,rwd,coupe,black,fl
15558,2999,2000,chrysler,sebring jxi,good,6,gas,142021,automatic,fwd,convertible,brown,fl
15559,25999,2014,ford,f150 xlt 4x4,excellent,8,gas,94168,automatic,4wd,truck,white,fl
